Gmt time,Open,High,Low,Close,Volume
06.01.2020 00:00:00.000,130.767,130.817,130.766,130.798,686.97
06.01.2020 00:05:00.000,130.798,130.827,130.798,130.827,32.121.999.999.999.900
06.01.2020 00:10:00.000,130.827,130.828,130.800,130.803,283.7
06.01.2020 00:15:00.000,130.803,130.818,130.802,130.817,315.13
06.01.2020 00:20:00.000,130.818,130.845,130.816,130.842,26.553.999.999.999.900
06.01.2020 00:25:00.000,130.842,130.875,130.842,130.865,228.86
06.01.2020 00:30:00.000,130.865,130.877,130.850,130.861,366.63
06.01.2020 00:35:00.000,130.861,130.866,130.844,130.844,22.029.000.000.000.000
06.01.2020 00:40:00.000,130.844,130.865,130.844,130.865,33.216.999.999.999.900
06.01.2020 00:45:00.000,130.863,130.863,130.846,130.857,312.54
06.01.2020 00:50:00.000,130.855,130.864,130.814,130.826,325.37
06.01.2020 00:55:00.000,130.826,130.826,130.775,130.796,45.829.999.999.999.900
06.01.2020 01:00:00.000,130.793,130.801,130.775,130.796,448.07
06.01.2020 01:05:00.000,130.796,130.799,130.767,130.767,30.141.999.999.999.900
06.01.2020 01:10:00.000,130.767,130.774,130.751,130.757,23.924.999.999.999.900
06.01.2020 01:15:00.000,130.757,130.777,130.756,130.764,296.27
06.01.2020 01:20:00.000,130.766,130.787,130.764,130.775,283.13
06.01.2020 01:25:00.000,130.777,130.779,130.768,130.773,119.93
06.01.2020 01:30:00.000,130.775,130.787,130.770,130.774,264.23
06.01.2020 01:35:00.000,130.774,130.808,130.774,130.800,489.95
06.01.2020 01:40:00.000,130.799,130.813,130.799,130.808,332.88
06.01.2020 01:45:00.000,130.808,130.811,130.793,130.794,258.81
06.01.2020 01:50:00.000,130.795,130.809,130.777,130.780,31.284.000.000.000.000
06.01.2020 01:55:00.000,130.780,130.797,130.780,130.788,169.94
06.01.2020 02:00:00.000,130.788,130.857,130.788,130.848,370.26
06.01.2020 02:05:00.000,130.848,130.861,130.839,130.861,22.885.000.000.000.000
06.01.2020 02:10:00.000,130.859,130.860,130.846,130.849,118.05
06.01.2020 02:15:00.000,130.849,130.849,130.828,130.829,16.242.000.000.000.000
06.01.2020 02:20:00.000,130.828,130.831,130.819,130.828,14.961.999.999.999.900
06.01.2020 02:25:00.000,130.829,130.869,130.829,130.867,217.86
06.01.2020 02:30:00.000,130.867,130.868,130.846,130.863,272.57
06.01.2020 02:35:00.000,130.860,130.872,130.835,130.841,291
06.01.2020 02:40:00.000,130.840,130.859,130.837,130.859,179.2
06.01.2020 02:45:00.000,130.858,130.861,130.857,130.857,52.599.999.999.999.900
06.01.2020 02:50:00.000,130.858,130.878,130.858,130.863,11.466.999.999.999.900
06.01.2020 02:55:00.000,130.862,130.871,130.848,130.869,141.18
06.01.2020 03:00:00.000,130.868,130.889,130.860,130.889,174.25
06.01.2020 03:05:00.000,130.888,130.888,130.868,130.871,24.383.999.999.999.900
06.01.2020 03:10:00.000,130.871,130.883,130.858,130.865,97.19
06.01.2020 03:15:00.000,130.866,130.869,130.858,130.869,15.310.000.000.000.000
06.01.2020 03:20:00.000,130.869,130.888,130.867,130.888,10.964.999.999.999.900
06.01.2020 03:25:00.000,130.890,130.899,130.866,130.874,325.19
06.01.2020 03:30:00.000,130.874,130.874,130.864,130.864,235.84
06.01.2020 03:35:00.000,130.863,130.863,130.834,130.836,195.76
06.01.2020 03:40:00.000,130.834,130.837,130.805,130.815,178.14
06.01.2020 03:45:00.000,130.815,130.848,130.812,130.841,265.95
06.01.2020 03:50:00.000,130.840,130.862,130.837,130.857,214.45
06.01.2020 03:55:00.000,130.855,130.856,130.815,130.815,243.05
06.01.2020 04:00:00.000,130.815,130.821,130.811,130.815,132.78
06.01.2020 04:05:00.000,130.816,130.824,130.815,130.818,93.95
06.01.2020 04:10:00.000,130.818,130.833,130.818,130.828,137.37
06.01.2020 04:15:00.000,130.828,130.844,130.816,130.842,357.6
06.01.2020 04:20:00.000,130.845,130.852,130.834,130.847,358.32
06.01.2020 04:25:00.000,130.847,130.856,130.839,130.854,373.15
06.01.2020 04:30:00.000,130.854,130.857,130.845,130.856,48.019.000.000.000.000
06.01.2020 04:35:00.000,130.857,130.868,130.837,130.842,182.44
06.01.2020 04:40:00.000,130.841,130.842,130.827,130.834,14.207.999.999.999.900
06.01.2020 04:45:00.000,130.831,130.831,130.816,130.816,143.89
06.01.2020 04:50:00.000,130.816,130.819,130.807,130.816,167.46
06.01.2020 04:55:00.000,130.817,130.837,130.814,130.837,176.65
06.01.2020 05:00:00.000,130.838,130.857,130.838,130.845,257.95
06.01.2020 05:05:00.000,130.844,130.849,130.839,130.846,165.79
06.01.2020 05:10:00.000,130.846,130.847,130.817,130.828,256.56
06.01.2020 05:15:00.000,130.828,130.829,130.815,130.815,96.59
06.01.2020 05:20:00.000,130.816,130.830,130.816,130.830,14.939.000.000.000.000
06.01.2020 05:25:00.000,130.829,130.829,130.816,130.828,107.01
06.01.2020 05:30:00.000,130.831,130.833,130.820,130.827,186.56
06.01.2020 05:35:00.000,130.828,130.829,130.817,130.818,128.59
06.01.2020 05:40:00.000,130.818,130.856,130.816,130.820,41.659.000.000.000.000
06.01.2020 05:45:00.000,130.819,130.831,130.815,130.817,17.282.000.000.000.000
06.01.2020 05:50:00.000,130.817,130.817,130.797,130.805,220.46
06.01.2020 05:55:00.000,130.805,130.808,130.796,130.808,205.38
06.01.2020 06:00:00.000,130.808,130.813,130.798,130.807,264.18
06.01.2020 06:05:00.000,130.807,130.808,130.757,130.769,282.35
06.01.2020 06:10:00.000,130.765,130.773,130.715,130.726,516.15
06.01.2020 06:15:00.000,130.726,130.730,130.684,130.685,6.425.000.000.000.000
06.01.2020 06:20:00.000,130.684,130.730,130.684,130.729,428.52
06.01.2020 06:25:00.000,130.729,130.784,130.728,130.779,297.13
06.01.2020 06:30:00.000,130.780,130.789,130.769,130.769,259.82
06.01.2020 06:35:00.000,130.768,130.779,130.747,130.748,461.87
06.01.2020 06:40:00.000,130.748,130.767,130.733,130.761,323.05
06.01.2020 06:45:00.000,130.761,130.829,130.761,130.824,725.75
06.01.2020 06:50:00.000,130.824,130.829,130.815,130.824,705.05
06.01.2020 06:55:00.000,130.826,130.830,130.817,130.824,371.39
06.01.2020 07:00:00.000,130.822,130.867,130.787,130.843,980.53
06.01.2020 07:05:00.000,130.844,130.864,130.838,130.855,550.12
