key_0,artist_name,track_name,release_date,genre,lyrics,romantic,communication,spiritual,sad,feelings,danceability,valence,energy,topic,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,positive,negative
0,maroon 5,just a feeling,2010,pop,watch bath sunlight bathroom door say wish anymore leave flower backseat things say leave permanent scar obsess depress time walk straight line lie dark cry goodbye look eye feel feel feel feel feel yeah cause believe lose control want believe give undress confess roll tear lie dark cry goodbye look eye feel feel feel feel feel believe feel feel hair stare right eye darkest refuse away try hard save feel feel feel feel feel feel feel feel feel feel believe believe believe yeah,0.038941672814360916,0.14866100035010116,0.0007102978147167343,0.3474379976608509,0.2733747164891209,0.577579979206901,0.275534506082023,0.6094408538272961,sadness,4,2,4,4,1,11,3,2,3,11
1,deerhunter,desire lines,2010,pop,young excitement show time go outgrow things forever reach gold forever fade black come cold walk free come away everyday walk free come away everyday young know undertows everyday turn round go come walk free come away everyday walk free come away everyday,0.0010952143045430602,0.001095214341669394,0.1323933657226907,0.23265236720812715,0.028143007369664363,0.23683306258381095,0.5067686549426257,0.7839936707188722,world/life,0,4,0,0,3,1,3,1,4,3
2,beach house,zebra,2010,pop,know gold worry oasis child bear wild know better rest deception deception stag white sand wilderness eye mild wise know better rest deception deception black white horse arch black white horse arch stag white sand oasis child bear know better rest deception deception wilderness eye mild wise oasis child bear wild know better rest deception deception black white horse arch black white horse arch black white horse arch black white horse arch,0.0013163987219709135,0.2296330800142219,0.15706750810261486,0.001316398727779527,0.0013163987169736455,0.7155483161449192,0.2887568866603889,0.5720168838532647,violence,3,17,0,6,14,9,2,17,21,17
3,nicki minaj,save me,2010,pop,drive scream voice head give strength give lifetime satisfy time save time save baby feel givin givin time save time save baby feel givin givin givin givin givin fault bitch monster beast feast conquer throne riches come time save time save baby feel givin givin time save time save baby feel givin givin givin givin givin givin baby givin baby feel like drivin yeah givin baby silence voice head time save come save time save come save time save time save baby feel givin givin time save time save baby feel givin givin time save time save baby feel givin givin givin,0.0007382667879615355,0.0007382667951960577,0.0007382667890978675,0.0007382667982421474,0.11381107687431075,0.40285018764554825,0.5709063303502494,0.7062737053786158,world/life,3,16,2,4,28,2,1,20,30,5
4,demi lovato,can't back down,2010,pop,right right close eye draw line gonna straddle lose stake walk away pretend happen backyard home plate call call hear yeah confuse thing stake walk away walk away yeah wrong like confrontation music undivided unite stake pretend happen backyard home plate call call hear yeah confuse thing stake walk away walk away yeah situation ignore cause ignorance decision come equally important share risk gotta stake walk away pretend happen backyard home plate call hear confuse thing stake walk away walk away yeah right,0.0006810082660977963,0.1345185006503586,0.0006810082585059057,0.2892163669500815,0.0006810082617992269,0.4676118503607806,0.5223291200864888,0.637784228768678,sadness,1,5,1,2,2,2,1,2,5,11
5,black veil brides,knives and pens,2010,pop,fight lose blur light stay right change plight storm despite right final fight tonight whoaohoh knives pen plight whoaohoh heart sight conscience beg right dull knife stab justify pride final fight tonight whoaohoh knives pen plight whoaohoh lose hold try best turn light turn light final fight tonight whoaohoh knives pen plight whoaohoh lose hold try best turn light turn light,0.055409758465012116,0.1415443585187373,0.0013362563846034054,0.03551904377470235,0.0013362563760238439,0.3359206408219851,0.3855319967348142,0.845075252370394,night/time,9,4,7,13,1,10,4,1,2,16
6,deerhunter,revival,2010,pop,save save believe felt presence near know believe favorite memories save save believe regret choose believe freedom silence yeah darken hallways darkness sense darken hallways away call stay,0.0017556738163870965,0.0017556738769321342,0.03788239571744053,0.07352007708768765,0.0017556737902537935,0.5144464504501176,0.5588600518658928,0.6451129879607792,world/life,1,0,0,3,6,4,0,6,8,4
7,neon trees,1983,2010,pop,look dynamite wall girls like cold talk cheap bathroom stall look smooth better tell truth trade cool know better cigarette kiss lips tonight call knees crawl come keep inside blood blade suck lollipop like age pretty play cute body fool feel cause feel call knees crawl come year bear ignore feet floor afraid whoa whoa whoa call knees crawl come call knees crawl come whoa whoa whoa whoa whoa whoa,0.0006964322835508887,0.08547446801686544,0.000696432264709528,0.0006964322597088329,0.0006964323087653272,0.3393883965570001,0.5594673071058075,0.7513348280279575,violence,1,2,6,2,2,0,1,3,6,11
8,best coast,when i'm with you,2010,pop,world lazy crazy yeah world lazy crazy yeah little girl mama tell boys like yeah hate sleep hate sleep hate sleep hate sleep,0.0026343889355961076,0.002634389144304403,0.0026343889668420327,0.002634388947033359,0.0026343889192641337,0.22099821017935067,0.3193224685157094,0.92149783080157,violence,6,0,4,6,0,6,0,0,0,8
9,beta radio,either way,2010,pop,design time turn light leave light design time turn light leave light second slow want sing mathematics mean turn light leave real second slow want want,0.001710722201619738,0.05993627794379575,0.0017107221900990726,0.0017107223435330445,0.03195974854319845,0.4978951971183338,0.7157785751798598,0.4849111685118064,night/time,0,3,0,0,1,4,3,2,2,3
