Bahasa_Indonesia,Baso_Seluma
Ani menanam bunga,Ani nanamka bungo
Andi bernagkat ke sekolah,Andi pai ke sekulah
Ibu dan Ayah pergi ke rumah Nenek,mak dan bak pai ke umah niniak
Kami sekeluarga pergi bertamasya,kami sekeluargo pai ngerayau
Siswa sedang belajar di sekolah,siswa lagi belajar di sekulah
Para siswa sedang berupacara,para siswa lagi berupacara
Adik makan permen,Ading makan gulo
Petani menanam padi,petani nanamka padi
Ayah pergi ke kantor,bak pai ke kantor
Ibu memasak di dapur,mak memasak di dapur
Adik bermain dengan temannya,Ading busiak dengan kawano
Kakak sedang tidur,dang lagi tuduak
Adik diajak Paman bermain,Ading diajak paman busiak
Upacara tadi dipimpin kepala sekolah,Upacara tadi dipimpin kepalo sekulah
Mereka menonton pertandingan bola basket,rombongan nonton tanding bola basket
Ibu mengajak adik ke pasar,mak ngajak ading ke pasar
Irwan mempunyai sepatu baru,Irwan punyo sepatu baru
Semua siswa belajar dengan rajin,Segalo Siswa belajar dengan rajin
Para pedagang ramai berjualan di pasar,Par pedagang rami bejualan di pasar
Semua peserta lomba bersiap di garis start,Segalo peserta lomba siap di garis mulai
