Local time,Open,High,Low,Close,Volume
01.01.2019 00:00:00.000 GMT+0700,109.702,109.726,109.671,109.703,3350.5999999999995
01.01.2019 00:30:00.000 GMT+0700,109.702,109.718,109.651,109.656,3482.9999999999995
01.01.2019 01:00:00.000 GMT+0700,109.657,109.696,109.634,109.690,3118.02
01.01.2019 01:30:00.000 GMT+0700,109.690,109.725,109.673,109.685,2059.99
01.01.2019 02:00:00.000 GMT+0700,109.684,109.694,109.620,109.620,2488.75
01.01.2019 02:30:00.000 GMT+0700,109.618,109.663,109.597,109.604,937.6200000000001
01.01.2019 03:00:00.000 GMT+0700,109.602,109.614,109.556,109.591,2296.7799999999997
01.01.2019 03:30:00.000 GMT+0700,109.591,109.617,109.578,109.610,1554.42
01.01.2019 04:00:00.000 GMT+0700,109.605,109.613,109.566,109.566,1484.95
01.01.2019 04:30:00.000 GMT+0700,109.567,109.604,109.554,109.556,1048.8300000000002
01.01.2019 05:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 05:30:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 06:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 06:30:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 07:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 07:30:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 08:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 08:30:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 09:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 09:30:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 10:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 10:30:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 11:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 11:30:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 12:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 12:30:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 13:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 13:30:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 14:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 14:30:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 15:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 15:30:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 16:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 16:30:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 17:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 17:30:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 18:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 18:30:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 19:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 19:30:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 20:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 20:30:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 21:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 21:30:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 22:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 22:30:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 23:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 23:30:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
02.01.2019 00:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
02.01.2019 00:30:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
02.01.2019 01:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
02.01.2019 01:30:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
02.01.2019 02:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
02.01.2019 02:30:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
02.01.2019 03:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
02.01.2019 03:30:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
02.01.2019 04:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
02.01.2019 04:30:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
02.01.2019 05:00:00.000 GMT+0700,109.648,109.668,109.606,109.654,3980.04
02.01.2019 05:30:00.000 GMT+0700,109.653,109.698,109.639,109.677,4821.109999999997
02.01.2019 06:00:00.000 GMT+0700,109.676,109.726,109.653,109.705,2672.8699999999994
02.01.2019 06:30:00.000 GMT+0700,109.708,109.725,109.646,109.670,2151.0099999999998
02.01.2019 07:00:00.000 GMT+0700,109.669,109.679,109.542,109.565,4362.329999999999
02.01.2019 07:30:00.000 GMT+0700,109.565,109.680,109.565,109.625,3136.4700000000007
