Local time,Open,High,Low,Close,Volume
31.12.2018 23:00:00.000 GMT+0700,109.776,109.820,109.597,109.604,27947.949699999997
01.01.2019 03:00:00.000 GMT+0700,109.602,109.617,109.554,109.556,6384.98
01.01.2019 07:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 11:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 15:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 19:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
01.01.2019 23:00:00.000 GMT+0700,109.556,109.556,109.556,109.556,0
02.01.2019 03:00:00.000 GMT+0700,109.648,109.726,109.606,109.670,13625.0303
02.01.2019 07:00:00.000 GMT+0700,109.669,109.680,109.336,109.420,31430.6103
02.01.2019 11:00:00.000 GMT+0700,109.420,109.429,109.126,109.308,28482.6602
02.01.2019 15:00:00.000 GMT+0700,109.308,109.323,108.707,109.107,63256.8399
02.01.2019 19:00:00.000 GMT+0700,109.104,109.392,108.820,109.283,62652.31939999999
02.01.2019 23:00:00.000 GMT+0700,109.282,109.464,109.181,109.196,38447.21
03.01.2019 03:00:00.000 GMT+0700,109.196,109.201,104.736,107.427,49018.1299
03.01.2019 07:00:00.000 GMT+0700,107.433,107.854,107.022,107.156,43492.56970000001
03.01.2019 11:00:00.000 GMT+0700,107.157,107.672,106.746,107.551,50280.4996
03.01.2019 15:00:00.000 GMT+0700,107.552,107.958,107.428,107.549,46478.5498
03.01.2019 19:00:00.000 GMT+0700,107.550,107.999,107.104,107.541,74862.8712
03.01.2019 23:00:00.000 GMT+0700,107.546,108.304,107.495,107.733,72277.1504
04.01.2019 03:00:00.000 GMT+0700,107.733,107.969,107.393,107.849,37944.879400000005
04.01.2019 07:00:00.000 GMT+0700,107.848,108.445,107.512,108.329,59559.0282
04.01.2019 11:00:00.000 GMT+0700,108.328,108.433,107.821,107.851,32834.539600000004
04.01.2019 15:00:00.000 GMT+0700,107.848,108.062,107.825,107.988,46414.2587
04.01.2019 19:00:00.000 GMT+0700,107.988,108.589,107.960,108.110,81543.5401
04.01.2019 23:00:00.000 GMT+0700,108.109,108.586,108.064,108.514,55451.088800000005
05.01.2019 03:00:00.000 GMT+0700,108.514,108.554,108.428,108.518,10564.71
07.01.2019 03:00:00.000 GMT+0700,108.503,108.622,108.352,108.550,10218.910100000001
07.01.2019 07:00:00.000 GMT+0700,108.550,108.604,108.068,108.137,39660.9796
07.01.2019 11:00:00.000 GMT+0700,108.135,108.313,108.019,108.187,31865.0898
07.01.2019 15:00:00.000 GMT+0700,108.187,108.404,108.067,108.356,30824.98
07.01.2019 19:00:00.000 GMT+0700,108.355,108.544,108.208,108.435,56895.7393
07.01.2019 23:00:00.000 GMT+0700,108.435,108.676,108.423,108.596,43414.0801
08.01.2019 03:00:00.000 GMT+0700,108.595,108.747,108.591,108.626,15971.789999999999
08.01.2019 07:00:00.000 GMT+0700,108.627,108.917,108.512,108.878,37670.7998
08.01.2019 11:00:00.000 GMT+0700,108.878,109.087,108.736,108.981,32660.4301
08.01.2019 15:00:00.000 GMT+0700,108.979,109.018,108.674,108.726,34457.2699
08.01.2019 19:00:00.000 GMT+0700,108.726,108.960,108.596,108.617,52875.2602
08.01.2019 23:00:00.000 GMT+0700,108.618,108.683,108.441,108.649,42483.2007
09.01.2019 03:00:00.000 GMT+0700,108.648,108.858,108.622,108.751,18912.3299
09.01.2019 07:00:00.000 GMT+0700,108.752,109.001,108.681,108.898,35763.020599999996
